transaction_id,account_id,type,amount
1,897,TRANSFER_IN,40855.72
2,776,DEPOSIT,2561.04
3,706,WITHDRAW,5083.61
4,33,DEPOSIT,33658.37
5,622,WITHDRAW,10274.39
6,1068,TRANSFER_IN,19119.32
7,216,TRANSFER_IN,28224.71
8,1264,WITHDRAW,16712.88
9,202,TRANSFER_OUT,47490.39
10,347,WITHDRAW,41152.49
11,784,TRANSFER_OUT,41006.38
12,955,DEPOSIT,9954.71
13,755,TRANSFER_IN,16003.33
14,436,WITHDRAW,29368.78
15,1004,TRANSFER_IN,1338.4
16,12,TRANSFER_OUT,11111.88
17,571,WITHDRAW,13342.07
18,121,TRANSFER_IN,17081.44
19,750,WITHDRAW,26916.78
20,955,TRANSFER_IN,38655.14
21,65,WITHDRAW,37896.58
22,83,DEPOSIT,23382.86
23,1150,WITHDRAW,26214.79
24,257,DEPOSIT,17121.97
25,926,TRANSFER_OUT,5414.74
26,86,WITHDRAW,32819.02
27,581,DEPOSIT,12172.9
28,1066,WITHDRAW,46496.55
29,382,TRANSFER_OUT,36835.14
30,601,TRANSFER_IN,17635.33
31,56,WITHDRAW,44642.36
32,690,TRANSFER_IN,32287.12
33,1018,TRANSFER_IN,21325.7
34,640,TRANSFER_OUT,49737.04
35,584,TRANSFER_OUT,278.91
36,1487,DEPOSIT,31929.59
37,178,TRANSFER_OUT,31854.94
38,492,TRANSFER_OUT,19612.08
39,645,TRANSFER_IN,34117.95
40,148,WITHDRAW,21526.22
41,1093,TRANSFER_IN,3416.72
42,124,WITHDRAW,45729.55
43,648,DEPOSIT,41736.26
44,412,TRANSFER_OUT,40876.17
45,1143,TRANSFER_OUT,28316.3
46,1334,DEPOSIT,46630.49
47,151,TRANSFER_IN,4793.66
48,1403,DEPOSIT,39003.34
49,1190,WITHDRAW,29552.8
50,855,DEPOSIT,22141.28
51,1250,WITHDRAW,12246.74
52,1271,WITHDRAW,5972.41
53,1273,TRANSFER_IN,45107.31
54,306,TRANSFER_IN,17564.68
55,1011,DEPOSIT,13153.03
56,616,DEPOSIT,12878.66
57,1490,DEPOSIT,29197.96
58,409,DEPOSIT,46577.54
59,61,TRANSFER_OUT,45123.41
60,1459,WITHDRAW,5947.14
61,671,WITHDRAW,8782.04
62,618,TRANSFER_IN,33662.98
63,201,WITHDRAW,33949.95
64,1155,TRANSFER_OUT,30554.33
65,17,WITHDRAW,12276.13
66,1027,WITHDRAW,44516.89
67,108,DEPOSIT,6469.32
68,447,TRANSFER_OUT,40546.92
69,464,TRANSFER_OUT,9225.25
70,926,TRANSFER_IN,33244.1
71,899,TRANSFER_OUT,5257.83
72,76,TRANSFER_OUT,26003.92
73,324,DEPOSIT,14474.01
74,567,TRANSFER_OUT,31817.97
75,492,TRANSFER_IN,29711.3
76,1343,DEPOSIT,1605.88
77,893,TRANSFER_OUT,22202.01
78,627,WITHDRAW,12183.78
79,1484,TRANSFER_OUT,36668.43
80,1305,DEPOSIT,39621.7
81,1338,WITHDRAW,23064.72
82,523,DEPOSIT,33406.21
83,1058,TRANSFER_OUT,6002.4
84,988,DEPOSIT,26142.64
85,1367,TRANSFER_IN,567.44
86,1405,TRANSFER_OUT,2830.28
87,715,TRANSFER_IN,14051.28
88,1156,TRANSFER_IN,1006.57
89,653,WITHDRAW,15196.82
90,289,DEPOSIT,18944.76
91,1408,WITHDRAW,360.77
92,86,WITHDRAW,435.93
93,699,TRANSFER_OUT,41492.28
94,807,WITHDRAW,31156.74
95,1471,WITHDRAW,37140.72
96,121,DEPOSIT,14601.54
97,738,TRANSFER_IN,25401.64
98,1110,TRANSFER_OUT,42160.09
99,1409,DEPOSIT,27610.01
100,1080,DEPOSIT,23944.77
101,1403,TRANSFER_IN,9076.9
102,868,DEPOSIT,41647.24
103,573,TRANSFER_OUT,3660.12
104,314,TRANSFER_IN,17021.27
105,358,TRANSFER_IN,42786.31
106,176,WITHDRAW,10550.06
107,905,TRANSFER_OUT,30317.23
108,1434,WITHDRAW,5374.39
109,1196,TRANSFER_IN,24358.28
110,540,TRANSFER_OUT,5077.16
111,1240,WITHDRAW,13362.99
112,1324,DEPOSIT,13019.82
113,937,TRANSFER_OUT,31622.38
114,670,TRANSFER_IN,3165.34
115,962,DEPOSIT,6846.2
116,473,WITHDRAW,49255.28
117,393,DEPOSIT,166.8
118,721,WITHDRAW,12130.82
119,71,TRANSFER_OUT,9628.82
120,1146,WITHDRAW,23861.18
121,1407,TRANSFER_IN,1896.13
122,1257,TRANSFER_IN,2851.15
123,709,DEPOSIT,45777.0
124,318,TRANSFER_OUT,10901.45
125,581,DEPOSIT,21086.04
126,1317,DEPOSIT,20257.37
127,842,WITHDRAW,28070.38
128,1261,TRANSFER_OUT,23664.42
129,245,WITHDRAW,5321.25
130,705,TRANSFER_IN,14683.08
131,877,TRANSFER_IN,39356.29
132,311,DEPOSIT,23622.65
133,554,TRANSFER_OUT,37834.05
134,19,DEPOSIT,25993.56
135,948,WITHDRAW,36609.97
136,1181,TRANSFER_IN,15664.38
137,934,WITHDRAW,46515.53
138,59,TRANSFER_OUT,6633.87
139,1263,DEPOSIT,22531.86
140,1494,WITHDRAW,9060.41
141,1204,WITHDRAW,32262.88
142,654,DEPOSIT,45697.58
143,1468,DEPOSIT,8325.66
144,123,DEPOSIT,44182.71
145,1181,WITHDRAW,20462.64
146,908,TRANSFER_OUT,6232.98
147,774,DEPOSIT,3497.23
148,335,TRANSFER_OUT,34067.25
149,1093,TRANSFER_IN,24539.65
150,79,TRANSFER_IN,32463.92
151,1445,DEPOSIT,49716.0
152,47,TRANSFER_IN,2495.38
153,16,TRANSFER_IN,26043.78
154,995,DEPOSIT,11838.88
155,723,TRANSFER_OUT,10467.89
156,507,WITHDRAW,13088.69
157,1391,DEPOSIT,10827.16
158,1060,WITHDRAW,34908.72
159,1142,WITHDRAW,46413.38
160,171,WITHDRAW,19016.06
161,468,TRANSFER_IN,23854.95
162,624,DEPOSIT,49206.58
163,28,WITHDRAW,9042.23
164,648,TRANSFER_OUT,12651.03
165,1385,TRANSFER_IN,9643.59
166,81,TRANSFER_OUT,25900.47
167,949,TRANSFER_IN,44779.9
168,1135,WITHDRAW,9826.23
169,464,TRANSFER_IN,12668.26
170,1023,DEPOSIT,12068.13
171,591,DEPOSIT,28039.8
172,386,TRANSFER_IN,33376.28
173,1052,TRANSFER_OUT,2607.48
174,131,DEPOSIT,30027.22
175,642,DEPOSIT,41157.37
176,391,DEPOSIT,4916.11
177,417,TRANSFER_OUT,34348.73
178,1271,TRANSFER_OUT,27421.09
179,811,TRANSFER_IN,48071.28
180,541,WITHDRAW,10812.26
181,560,WITHDRAW,2011.33
182,433,WITHDRAW,49981.23
183,367,TRANSFER_IN,45460.44
184,1378,DEPOSIT,26633.96
185,1288,TRANSFER_OUT,9976.44
186,1043,WITHDRAW,47004.41
187,1349,TRANSFER_OUT,11596.01
188,1435,WITHDRAW,11647.17
189,1241,WITHDRAW,44722.38
190,59,WITHDRAW,23868.23
191,1147,TRANSFER_IN,35603.15
192,1472,WITHDRAW,38231.03
193,1430,TRANSFER_IN,29143.52
194,1311,TRANSFER_OUT,11781.74
195,1125,TRANSFER_OUT,10879.37
196,594,DEPOSIT,33779.88
197,184,TRANSFER_OUT,31630.23
198,106,TRANSFER_IN,41529.25
199,1251,WITHDRAW,49599.04
200,348,TRANSFER_OUT,27468.85
201,1096,DEPOSIT,5484.19
202,1448,TRANSFER_IN,2405.48
203,843,WITHDRAW,39133.35
204,755,DEPOSIT,27600.35
205,440,TRANSFER_IN,47399.46
206,116,TRANSFER_OUT,31312.83
207,1238,TRANSFER_IN,23162.47
208,1386,TRANSFER_OUT,27503.79
209,480,TRANSFER_OUT,8279.02
210,926,DEPOSIT,47408.18
211,393,DEPOSIT,34089.56
212,49,TRANSFER_OUT,38614.04
213,172,TRANSFER_IN,18617.2
214,1341,TRANSFER_IN,1786.82
215,101,DEPOSIT,33221.03
216,972,TRANSFER_IN,48271.1
217,580,WITHDRAW,34166.3
218,1066,WITHDRAW,49797.83
219,649,TRANSFER_OUT,30405.78
220,156,WITHDRAW,871.66
221,1453,TRANSFER_IN,9930.15
222,1183,TRANSFER_IN,11891.27
223,581,WITHDRAW,40596.74
224,1419,TRANSFER_OUT,32809.79
225,90,TRANSFER_IN,14135.71
226,1115,DEPOSIT,31112.29
227,97,TRANSFER_OUT,5546.51
228,1168,TRANSFER_OUT,15730.59
229,1111,TRANSFER_IN,2626.54
230,709,TRANSFER_IN,13676.92
231,1379,WITHDRAW,19784.59
232,1112,WITHDRAW,3416.73
233,1445,TRANSFER_IN,48036.91
234,611,TRANSFER_OUT,31496.06
235,629,TRANSFER_IN,44088.76
236,1461,DEPOSIT,41743.86
237,1135,WITHDRAW,1978.64
238,901,TRANSFER_OUT,44264.29
239,1265,TRANSFER_OUT,26239.96
240,295,TRANSFER_OUT,15805.26
241,1339,DEPOSIT,9771.98
242,719,TRANSFER_IN,35149.74
243,590,TRANSFER_OUT,14844.56
244,373,TRANSFER_IN,18666.34
245,512,TRANSFER_IN,30213.31
246,1457,DEPOSIT,29113.82
247,1496,TRANSFER_OUT,38874.16
248,1005,TRANSFER_IN,44582.09
249,929,TRANSFER_IN,26213.01
250,160,TRANSFER_OUT,48160.72
251,785,WITHDRAW,49860.05
252,575,DEPOSIT,9914.33
253,416,TRANSFER_OUT,29359.99
254,1403,TRANSFER_OUT,43743.62
255,786,TRANSFER_IN,1086.07
256,483,DEPOSIT,15854.67
257,362,WITHDRAW,1400.75
258,1015,TRANSFER_IN,46156.17
259,605,DEPOSIT,15497.04
260,1094,TRANSFER_IN,13294.79
261,1317,TRANSFER_IN,7405.78
262,1062,TRANSFER_IN,11303.73
263,410,TRANSFER_IN,26182.03
264,383,DEPOSIT,35000.76
265,369,DEPOSIT,30472.2
266,168,WITHDRAW,12321.61
267,851,WITHDRAW,9388.53
268,1181,WITHDRAW,25004.6
269,526,DEPOSIT,11258.99
270,606,TRANSFER_IN,10590.13
271,280,DEPOSIT,32952.33
272,652,DEPOSIT,39663.82
273,758,DEPOSIT,6299.23
274,439,WITHDRAW,25690.92
275,1416,TRANSFER_OUT,19785.93
276,1451,DEPOSIT,21189.94
277,720,TRANSFER_IN,8346.98
278,900,TRANSFER_OUT,23731.85
279,1106,TRANSFER_OUT,1601.45
280,1189,DEPOSIT,3208.05
281,1440,TRANSFER_IN,34368.64
282,366,TRANSFER_IN,37616.49
283,501,DEPOSIT,36694.35
284,594,WITHDRAW,34353.93
285,1092,TRANSFER_IN,21229.86
286,175,DEPOSIT,29271.29
287,1147,WITHDRAW,22632.19
288,944,TRANSFER_IN,14954.24
289,1449,TRANSFER_IN,42766.99
290,979,DEPOSIT,45071.84
291,668,TRANSFER_IN,26648.05
292,772,WITHDRAW,48601.16
293,1055,DEPOSIT,38206.39
294,1294,TRANSFER_IN,11111.95
295,787,WITHDRAW,12263.52
296,516,WITHDRAW,10311.71
297,1096,WITHDRAW,7712.04
298,1002,TRANSFER_IN,8514.27
299,148,WITHDRAW,21457.65
300,231,DEPOSIT,911.01
301,3,TRANSFER_IN,15825.7
302,1419,DEPOSIT,31570.34
303,1333,TRANSFER_OUT,37689.55
304,752,DEPOSIT,27206.27
305,138,TRANSFER_IN,35352.01
306,249,TRANSFER_OUT,981.64
307,1377,WITHDRAW,6726.74
308,513,WITHDRAW,15293.52
309,761,TRANSFER_IN,24975.82
310,1252,TRANSFER_IN,33203.96
311,1055,DEPOSIT,49099.92
312,145,TRANSFER_IN,49323.02
313,1341,TRANSFER_OUT,45885.81
314,400,WITHDRAW,5799.32
315,186,TRANSFER_OUT,33393.02
316,869,TRANSFER_OUT,42878.73
317,1188,TRANSFER_IN,28172.96
318,915,TRANSFER_OUT,26405.52
319,197,TRANSFER_OUT,24276.17
320,441,TRANSFER_IN,9077.21
321,1096,DEPOSIT,24753.08
322,527,DEPOSIT,17409.61
323,449,DEPOSIT,45443.47
324,327,TRANSFER_IN,11476.61
325,1301,TRANSFER_IN,44673.27
326,419,DEPOSIT,41888.57
327,1435,TRANSFER_IN,49109.74
328,303,TRANSFER_IN,5824.79
329,893,TRANSFER_IN,30223.71
330,767,WITHDRAW,12407.03
331,1332,WITHDRAW,16764.63
332,944,DEPOSIT,48003.01
333,1128,TRANSFER_IN,33465.93
334,240,WITHDRAW,40378.09
335,1167,TRANSFER_IN,39812.59
336,454,WITHDRAW,2911.02
337,198,TRANSFER_IN,12769.55
338,1177,TRANSFER_OUT,15659.15
339,242,WITHDRAW,24631.64
340,737,TRANSFER_IN,2741.82
341,689,TRANSFER_OUT,3609.18
342,1072,TRANSFER_IN,35709.85
343,238,WITHDRAW,9446.32
344,357,TRANSFER_IN,24988.7
345,170,WITHDRAW,49062.91
346,273,TRANSFER_OUT,25942.57
347,295,TRANSFER_IN,39224.42
348,1479,DEPOSIT,31394.57
349,1279,DEPOSIT,24274.45
350,229,DEPOSIT,35835.98
351,239,WITHDRAW,15860.63
352,198,TRANSFER_IN,5089.33
353,309,WITHDRAW,26083.63
354,999,TRANSFER_OUT,24398.94
355,157,DEPOSIT,20670.07
356,1076,DEPOSIT,31309.79
